retrived_at,province_id,city,state,country,pollution_aqi,polution_main,weather_tp,weather_pr,weather_hu,weather_ws,weather_wd
4/26/2023 13:15:27,TH-10,Phra Nakhon,Bangkok,Thailand,80,p2,26,1008,46,3.36,160
4/26/2023 13:15:58,TH-11,Bang Phli,Samut Prakan,Thailand,41,p2,26,1010,83,2.57,200
4/26/2023 13:16:30,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,29,p2,28,1011,78,4.63,190
4/26/2023 13:17:00,TH-13,Khlong Luang,Pathum Thani,Thailand,33,p2,29,1011,89,4.63,190
4/26/2023 13:17:32,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,94,p2,30,1007,44,0.85,146
4/26/2023 13:18:02,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,83,p2,37,1007,42,1.84,201
4/26/2023 13:18:33,TH-16,Ban Mi,Lop Buri,Thailand,59,p2,37,1007,37,1.91,92
4/26/2023 13:19:04,TH-20,Na Kluea,Chon Buri,Thailand,66,p2,31,1008,56,1.99,120
4/26/2023 13:19:35,TH-21,Ban Khai,Rayong,Thailand,53,p2,31,1009,67,3.15,139
4/26/2023 13:20:06,TH-50,Chiang Mai,Chiang Mai,Thailand,153,p2,37,989,36,2.57,0
4/26/2023 13:20:37,TH-52,Hang Chat,Lampang,Thailand,119,p2,36,1006,39,3.13,139
4/26/2023 14:15:27,TH-10,Phra Nakhon,Bangkok,Thailand,78,p2,28,1007,49,4.1,171
4/26/2023 14:15:58,TH-11,Bang Phli,Samut Prakan,Thailand,53,p2,26,1008,83,0.51,0
4/26/2023 14:16:29,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,23,p2,29,1009,65,2.06,170
4/26/2023 14:17:00,TH-13,Khlong Luang,Pathum Thani,Thailand,25,p2,30,1009,82,2.06,170
4/26/2023 14:17:31,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,70,p2,31,1006,42,1.88,145
4/26/2023 14:18:01,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,78,p2,37,1006,40,1.69,177
4/26/2023 14:18:32,TH-16,Ban Mi,Lop Buri,Thailand,59,p2,37,1005,37,2.1,130
4/26/2023 14:19:03,TH-20,Na Kluea,Chon Buri,Thailand,57,p2,31,1007,58,2.58,141
4/26/2023 14:19:34,TH-21,Ban Khai,Rayong,Thailand,57,p2,31,1008,63,3.79,160
4/26/2023 14:20:04,TH-50,Chiang Mai,Chiang Mai,Thailand,146,p2,38,988,33,3.09,150
4/26/2023 14:20:35,TH-52,Hang Chat,Lampang,Thailand,97,p2,38,1005,37,1.96,165
4/26/2023 15:15:27,TH-10,Phra Nakhon,Bangkok,Thailand,78,p2,30,1005,56,3.14,155
4/26/2023 15:15:59,TH-11,Bang Phli,Samut Prakan,Thailand,59,p2,31,1006,53,3.59,166
4/26/2023 15:16:29,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,29,p2,30,1008,60,1.54,0
4/26/2023 15:17:00,TH-13,Khlong Luang,Pathum Thani,Thailand,29,p2,31,1008,80,1.54,0
4/26/2023 15:17:31,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,65,p2,31,1005,41,3,133
4/26/2023 15:18:03,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,78,p2,37,1005,41,2.57,121
4/26/2023 15:18:34,TH-16,Ban Mi,Lop Buri,Thailand,59,p2,37,1005,40,2.81,126
4/26/2023 15:19:05,TH-20,Na Kluea,Chon Buri,Thailand,57,p2,30,1006,60,4.21,158
4/26/2023 15:19:35,TH-21,Ban Khai,Rayong,Thailand,57,p2,29,1008,70,3.99,168
4/26/2023 15:20:06,TH-50,Chiang Mai,Chiang Mai,Thailand,131,p2,35,988,43,8.23,160
4/26/2023 15:20:37,TH-52,Hang Chat,Lampang,Thailand,82,p2,36,1005,22,1.7,311
4/26/2023 16:15:26,TH-10,Phra Nakhon,Bangkok,Thailand,78,p2,31,1004,44,3.6,156
4/26/2023 16:15:58,TH-11,Bang Phli,Samut Prakan,Thailand,59,p2,27,1006,74,1.54,310
4/26/2023 16:16:28,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,33,p2,31,1007,60,1.54,200
4/26/2023 16:16:59,TH-13,Khlong Luang,Pathum Thani,Thailand,31,p2,33,1007,66,1.54,200
4/26/2023 16:17:29,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,82,p2,36,1004,42,3.78,129
